POSTN	3.670892567	1.57E-69
INHBA	3.513473759	1.52E-104
FAP	3.484117271	3.68E-111
THBS2	3.455721758	1.19E-153
LUM	3.393130489	4.21E-114
MMP11	3.330120068	1.10E-78
COL10A1	3.300710217	2.06E-71
COL3A1	3.297229398	6.19E-165
ADAM12	3.28078904	1.19E-134
COL5A1	3.266317109	1.19E-152
COL5A2	3.227936001	2.22E-187
FN1	3.218382483	9.61E-150
SERPINE1	3.176787975	8.67E-112
COL8A1	3.166387495	2.01E-110
COL1A1	3.163217543	3.22E-152
VCAN	3.15674901	4.47E-143
ITGA11	3.147951447	9.16E-127
CTSK	3.133006031	1.11E-129
CRISPLD2	3.071281634	8.89E-177
ACTG2	3.056549817	1.17E-67
SVEP1	3.02084662	1.01E-86
PRRX1	2.99448342	4.09E-91
SFRP4	2.935869094	7.07E-69
ADAMTS12	2.927543362	4.17E-98
KCNE4	2.919681404	5.02E-135
FBN1	2.847741113	3.73E-156
AEBP1	2.782234215	8.84E-137
CXCL14	2.759817541	1.43E-37
MMP2	2.75428882	7.98E-150
LOX	2.71178721	5.73E-108
ADAMTS2	2.703591623	8.51E-87
VGLL3	2.685364575	4.88E-83
COL1A2	2.662792259	3.99E-130
PTGIS	2.642075294	2.58E-72
MSC	2.637774991	6.51E-95
PDLIM3	2.634218531	3.18E-114
GJB2	2.585809352	5.30E-54
COL6A3	2.566008977	1.11E-108
DCN	2.554509172	1.76E-94
ISM1	2.530670483	1.97E-76
KIF26B	2.525277679	2.05E-69
TMEM158	2.517466992	1.36E-58
OLFML2B	2.510738149	1.50E-115
ECM1	2.498091479	7.16E-136
TIMP3	2.493956905	1.05E-85
PODN	2.479342905	4.27E-74
FNDC1	2.456057083	7.98E-62
ZNF469	2.452185108	4.28E-87
COL5A3	2.447615317	6.53E-67
COLEC12	2.444387314	1.07E-113
SSC5D	2.437259164	3.46E-84
RGS4	2.426870528	2.27E-81
ACTA2	2.41801111	9.65E-98
C1QTNF3	2.40640932	2.67E-76
SNAI2	2.39086478	4.24E-101
C13orf33	2.387666826	2.54E-51
TDO2	2.384073398	9.15E-54
SPARC	2.382880989	6.16E-160
CD36	2.377763031	5.52E-63
WISP1	2.3720868	3.64E-82
PLAU	2.365351817	1.45E-89
CTHRC1	2.35759376	1.23E-77
CCDC80	2.345050813	4.05E-74
CXCL12	2.341853705	7.51E-61
SERPINF1	2.338113584	6.46E-71
NR4A3	2.321500759	1.77E-35
CDH11	2.307824359	1.12E-77
C10orf55	2.292503174	2.22E-81
EMILIN1	2.258920017	2.94E-81
THBS1	2.242058375	4.72E-105
AOC3	2.221877024	5.08E-63
COL6A2	2.206829009	1.01E-90
COL16A1	2.163715236	7.03E-106
ZFHX4	2.120728459	3.76E-38
VCAM1	2.116562115	2.18E-46
